feature_name,data_type,category,description,missing_pct,unique_values,leakage_risk,is_model_ready
date,datetime64[us],Entity / Identifier,Primary key or grouping metadata.,0.0,337,None (Identifier),False
sku_id,str,Entity / Identifier,Primary key or grouping metadata.,0.0,5,None (Identifier),False
sku_name,str,Entity / Identifier,Primary key or grouping metadata.,0.0,5,None (Identifier),False
category,str,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4,Zero,True
store_id,str,Entity / Identifier,Primary key or grouping metadata.,0.0,3,None (Identifier),False
price,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4427,Zero,True
cost_price,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,5,Zero,True
units_sold,int64,Target Variable,Actual observed demand volume (target).,0.0,62,Target (Do not use as predictor),False
revenue,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4966,Zero,True
competitor_price,float64,Competitive Intelligence,Real-time competitor benchmark spread and ratio.,0.0,4119,Zero (Point-in-time scrape),True
inventory_level,int64,Inventory Dynamics,Runway proxy and stockout risk indicators.,0.0,649,Zero (Point-in-time stock on hand),True
is_promotion,int64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,2,Zero,True
year,int64,Temporal Calendar,Calendar date attribute.,0.0,2,Zero (Known in advance),True
month,int64,Temporal Calendar,Calendar date attribute.,0.0,12,Zero (Known in advance),True
quarter,int64,Temporal Calendar,Calendar date attribute.,0.0,4,Zero (Known in advance),True
day,int64,Temporal Calendar,Calendar date attribute.,0.0,31,Zero (Known in advance),True
day_of_week,int64,Temporal Calendar,Calendar date attribute.,0.0,7,Zero (Known in advance),True
day_of_year,int64,Temporal Calendar,Calendar date attribute.,0.0,337,Zero (Known in advance),True
week_of_year,int64,Temporal Calendar,Calendar date attribute.,0.0,49,Zero (Known in advance),True
is_weekend,int64,Temporal Calendar,Calendar date attribute.,0.0,2,Zero (Known in advance),True
is_month_start,int64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,2,Zero,True
is_month_end,int64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,2,Zero,True
is_quarter_start,int64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,2,Zero,True
is_quarter_end,int64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,2,Zero,True
month_sin,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,11,Zero (Known in advance),True
month_cos,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,11,Zero (Known in advance),True
dow_sin,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,7,Zero (Known in advance),True
dow_cos,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,7,Zero (Known in advance),True
week_sin,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,43,Zero (Known in advance),True
week_cos,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,44,Zero (Known in advance),True
log_price,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4427,Zero,True
price_lag_1,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,4425,Zero (Strictly shifted >= 1d),True
price_lag_7,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,4428,Zero (Strictly shifted >= 1d),True
price_lag_14,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,4430,Zero (Strictly shifted >= 1d),True
price_change_1d,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4497,Zero,True
price_pct_change_1d,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,5054,Zero,True
price_rolling_mean_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,4856,Zero (Window excludes current t),True
price_deviation_rolling_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,4941,Zero (Window excludes current t),True
price_rolling_mean_28,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,4949,Zero (Window excludes current t),True
price_deviation_rolling_28,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,5014,Zero (Window excludes current t),True
log_cost_price,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,5,Zero (Known in advance),True
unit_gross_margin_dollar,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4378,Zero,True
unit_gross_margin_pct,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4422,Zero,True
price_to_cost_markup,float64,Cyclical Encoding,Continuous trigonometric seasonal wave.,0.0,4422,Zero (Known in advance),True
log_competitor_price,float64,Competitive Intelligence,Real-time competitor benchmark spread and ratio.,0.0,4119,Zero (Point-in-time scrape),True
competitor_price_diff,float64,Competitive Intelligence,Real-time competitor benchmark spread and ratio.,0.0,4514,Zero (Point-in-time scrape),True
competitor_price_ratio,float64,Competitive Intelligence,Real-time competitor benchmark spread and ratio.,0.0,5053,Zero (Point-in-time scrape),True
competitor_spread_pct,float64,Competitive Intelligence,Real-time competitor benchmark spread and ratio.,0.0,5054,Zero (Point-in-time scrape),True
is_undercut_by_competitor,int64,Competitive Intelligence,Real-time competitor benchmark spread and ratio.,0.0,2,Zero (Point-in-time scrape),True
is_promotion_flag,int64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,2,Zero (Strictly shifted >= 1d),True
promo_price_interaction,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,735,Zero,True
log_units_sold,float64,Target Variable,Actual observed demand volume (target).,0.0,62,Target (Do not use as predictor),False
demand_lag_1,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,62,Zero (Strictly shifted >= 1d),True
demand_lag_7,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,63,Zero (Strictly shifted >= 1d),True
demand_lag_14,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,63,Zero (Strictly shifted >= 1d),True
demand_lag_28,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,63,Zero (Strictly shifted >= 1d),True
demand_rolling_mean_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,318,Zero (Window excludes current t),True
demand_rolling_std_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,3573,Zero (Window excludes current t),True
demand_rolling_min_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,33,Zero (Window excludes current t),True
demand_rolling_max_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,61,Zero (Window excludes current t),True
demand_rolling_mean_14,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,558,Zero (Window excludes current t),True
demand_rolling_std_14,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,3695,Zero (Window excludes current t),True
