model_name,sku_id,horizon,n_steps,mae,rmse,wape_pct,mape_pct,mase,interval_coverage_pct,total_actual_demand,total_forecast_demand,demand_bias,demand_bias_pct
Recursive_LightGBM,SKU-1090-CAB,14,14,5.6436,6.79,5.15,5.11,0.6305,85.7,1534.0,1507.7,-26.3,-1.72
Exponential_Smoothing,SKU-1090-CAB,14,14,6.3405,7.3028,5.79,6.15,0.7084,100.0,1534.0,1563.4,29.4,1.91
Recursive_XGBoost,SKU-1090-CAB,14,14,5.9993,7.4041,5.48,5.41,0.6703,57.1,1534.0,1515.0,-19.0,-1.24
SARIMAX,SKU-1090-CAB,14,14,6.6189,8.0264,6.04,5.7,0.7395,100.0,1534.0,1466.9,-67.1,-4.37
Seasonal_Naive_7D,SKU-1090-CAB,14,14,8.5714,12.1714,7.82,7.49,0.9576,100.0,1534.0,1532.0,-2.0,-0.13
Moving_Average_14D,SKU-1090-CAB,14,14,19.6224,21.9987,17.91,20.47,2.1923,100.0,1534.0,1515.0,-19.0,-1.24
Naive,SKU-1090-CAB,14,14,17.1429,23.519,15.65,19.96,1.9153,100.0,1534.0,1652.0,118.0,7.69
Exponential_Smoothing,SKU-3320-SENS,14,14,5.3282,6.4691,7.58,8.26,0.6165,100.0,984.0,988.2,4.2,0.43
Recursive_XGBoost,SKU-3320-SENS,14,14,5.7357,7.255,8.16,8.21,0.6637,35.7,984.0,928.2,-55.8,-5.67
Recursive_LightGBM,SKU-3320-SENS,14,14,6.3779,7.8342,9.07,9.09,0.738,50.0,984.0,917.6,-66.4,-6.75
SARIMAX,SKU-3320-SENS,14,14,7.0803,8.8161,10.07,10.02,0.8192,92.9,984.0,910.6,-73.4,-7.46
Seasonal_Naive_7D,SKU-3320-SENS,14,14,9.4286,11.6741,13.41,14.25,1.091,100.0,984.0,968.0,-16.0,-1.63
Moving_Average_14D,SKU-3320-SENS,14,14,15.3571,16.8978,21.85,25.46,1.7769,100.0,984.0,945.0,-39.0,-3.96
Naive,SKU-3320-SENS,14,14,14.0,20.3715,19.92,28.31,1.6199,100.0,984.0,1148.0,164.0,16.67
Exponential_Smoothing,SKU-4412-MTR,14,14,1.602,2.0532,6.43,6.43,0.7601,92.9,349.0,335.0,-14.0,-4.02
Recursive_XGBoost,SKU-4412-MTR,14,14,1.8857,2.2231,7.56,7.76,0.8947,28.6,349.0,340.2,-8.8,-2.52
Recursive_LightGBM,SKU-4412-MTR,14,14,1.8936,2.3094,7.6,7.67,0.8985,85.7,349.0,339.1,-9.9,-2.85
SARIMAX,SKU-4412-MTR,14,14,2.4547,3.0429,9.85,9.61,1.1647,78.6,349.0,316.5,-32.5,-9.32
Seasonal_Naive_7D,SKU-4412-MTR,14,14,2.5,3.0589,10.03,10.39,1.1862,92.9,349.0,328.0,-21.0,-6.02
Moving_Average_14D,SKU-4412-MTR,14,14,5.0,5.3686,20.06,21.8,2.3724,100.0,349.0,329.0,-20.0,-5.73
Naive,SKU-4412-MTR,14,14,5.3571,7.2457,21.49,27.78,2.5419,100.0,349.0,420.0,71.0,20.34
Exponential_Smoothing,SKU-7731-SFT,14,14,0.784,0.9511,5.6,5.86,0.5726,100.0,196.0,199.0,3.0,1.53
SARIMAX,SKU-7731-SFT,14,14,0.8868,0.994,6.33,6.38,0.6477,100.0,196.0,192.6,-3.4,-1.74
Seasonal_Naive_7D,SKU-7731-SFT,14,14,1.1429,1.5119,8.16,8.51,0.8347,92.9,196.0,200.0,4.0,2.04
Recursive_LightGBM,SKU-7731-SFT,14,14,1.8186,2.0223,12.99,13.81,1.3282,42.9,196.0,221.5,25.5,12.99
Recursive_XGBoost,SKU-7731-SFT,14,14,2.3043,2.5047,16.46,17.41,1.683,7.1,196.0,228.3,32.3,16.46
Moving_Average_14D,SKU-7731-SFT,14,14,2.5714,2.9761,18.37,21.54,1.8781,100.0,196.0,196.0,0.0,0.0
Naive,SKU-7731-SFT,14,14,5.0,5.8187,35.71,43.53,3.6518,100.0,196.0,266.0,70.0,35.71
Exponential_Smoothing,SKU-8921-PRO,14,14,3.2347,3.6154,7.57,7.77,0.7379,100.0,598.0,605.4,7.4,1.24
SARIMAX,SKU-8921-PRO,14,14,3.539,4.72,8.29,7.94,0.8073,85.7,598.0,559.6,-38.4,-6.42
Recursive_LightGBM,SKU-8921-PRO,14,14,3.7593,5.102,8.8,8.44,0.8576,64.3,598.0,550.1,-47.9,-8.0
Seasonal_Naive_7D,SKU-8921-PRO,14,14,4.5714,5.2236,10.7,10.37,1.0428,100.0,598.0,598.0,0.0,0.0
Recursive_XGBoost,SKU-8921-PRO,14,14,4.6543,6.0807,10.9,10.28,1.0617,28.6,598.0,535.5,-62.5,-10.45
Moving_Average_14D,SKU-8921-PRO,14,14,7.7653,9.0489,18.18,20.91,1.7714,100.0,598.0,591.0,-7.0,-1.17
Naive,SKU-8921-PRO,14,14,7.1429,9.1261,16.72,20.31,1.6294,100.0,598.0,616.0,18.0,3.01
