feature,mean_abs_shap,std_abs_shap,rank,note
demand_lag_7,4.5969467,2.6266048,1,Model feature contribution magnitude — not causal
demand_lag_28,2.8360672,1.6825494,2,Model feature contribution magnitude — not causal
demand_lag_14,2.4902556,2.0207622,3,Model feature contribution magnitude — not causal
log_price,0.9705252,0.49956852,4,Model feature contribution magnitude — not causal
day_of_week,0.71092945,0.5519746,5,Model feature contribution magnitude — not causal
demand_rolling_mean_28,0.6022079,0.3131291,6,Model feature contribution magnitude — not causal
price_to_cost_markup,0.4690962,0.34960228,7,Model feature contribution magnitude — not causal
week_sin,0.32892913,0.20378228,8,Model feature contribution magnitude — not causal
demand_rolling_mean_7,0.26041833,0.17681085,9,Model feature contribution magnitude — not causal
price_lag_1,0.24758156,0.18077978,10,Model feature contribution magnitude — not causal
demand_rolling_mean_14,0.16479087,0.10351444,11,Model feature contribution magnitude — not causal
price_deviation_rolling_28,0.14443403,0.10680956,12,Model feature contribution magnitude — not causal
demand_rolling_std_7,0.13537285,0.10801181,13,Model feature contribution magnitude — not causal
week_cos,0.12216816,0.09797256,14,Model feature contribution magnitude — not causal
competitor_price,0.12009887,0.1296553,15,Model feature contribution magnitude — not causal
price_deviation_rolling_7,0.12000764,0.086564586,16,Model feature contribution magnitude — not causal
month_sin,0.11346781,0.18972787,17,Model feature contribution magnitude — not causal
day_of_year,0.101840466,0.08748925,18,Model feature contribution magnitude — not causal
price_rolling_mean_7,0.09822453,0.14621413,19,Model feature contribution magnitude — not causal
demand_rolling_min_28,0.09778476,0.08447632,20,Model feature contribution magnitude — not causal
revenue_lag_7,0.09762782,0.08105645,21,Model feature contribution magnitude — not causal
demand_rolling_std_28,0.090455234,0.06642573,22,Model feature contribution magnitude — not causal
price_lag_14,0.08993677,0.09707993,23,Model feature contribution magnitude — not causal
price,0.089728236,0.047745038,24,Model feature contribution magnitude — not causal
unit_gross_margin_pct,0.08514073,0.068482496,25,Model feature contribution magnitude — not causal
inventory_lag_1,0.083282106,0.10086087,26,Model feature contribution magnitude — not causal
price_lag_7,0.082662135,0.10624272,27,Model feature contribution magnitude — not causal
unit_gross_margin_dollar,0.07965613,0.051456496,28,Model feature contribution magnitude — not causal
competitor_price_ratio,0.07945626,0.07358869,29,Model feature contribution magnitude — not causal
days_of_supply_proxy,0.07644708,0.09186162,30,Model feature contribution magnitude — not causal
dow_sin,0.07447409,0.05861902,31,Model feature contribution magnitude — not causal
price_rolling_mean_28,0.07404061,0.09609146,32,Model feature contribution magnitude — not causal
inventory_level,0.071833804,0.0883549,33,Model feature contribution magnitude — not causal
price_change_1d,0.06901653,0.09229485,34,Model feature contribution magnitude — not causal
demand_rolling_max_7,0.06454533,0.057662863,35,Model feature contribution magnitude — not causal
day,0.061848182,0.059249014,36,Model feature contribution magnitude — not causal
price_pct_change_1d,0.061644282,0.13228327,37,Model feature contribution magnitude — not causal
demand_momentum_7_28,0.05605075,0.061739895,38,Model feature contribution magnitude — not causal
demand_rolling_std_14,0.05157925,0.049059313,39,Model feature contribution magnitude — not causal
log_competitor_price,0.04831151,0.03978568,40,Model feature contribution magnitude — not causal
demand_lag_1,0.047229797,0.04344405,41,Model feature contribution magnitude — not causal
demand_rolling_min_7,0.04575795,0.040625338,42,Model feature contribution magnitude — not causal
revenue_rolling_mean_7,0.04321663,0.05726098,43,Model feature contribution magnitude — not causal
inventory_lag_7,0.042297628,0.055405796,44,Model feature contribution magnitude — not causal
revenue_lag_1,0.041884318,0.053601995,45,Model feature contribution magnitude — not causal
inventory_change_1d,0.040427335,0.05294699,46,Model feature contribution magnitude — not causal
competitor_price_diff,0.0341616,0.04519454,47,Model feature contribution magnitude — not causal
demand_rolling_max_14,0.033526357,0.050198484,48,Model feature contribution magnitude — not causal
week_of_year,0.030164814,0.025037345,49,Model feature contribution magnitude — not causal
competitor_spread_pct,0.029647954,0.025978616,50,Model feature contribution magnitude — not causal
month_cos,0.028902689,0.020583514,51,Model feature contribution magnitude — not causal
demand_rolling_min_14,0.024893971,0.043423757,52,Model feature contribution magnitude — not causal
promo_price_interaction,0.022255957,0.10000844,53,Model feature contribution magnitude — not causal
demand_rolling_max_28,0.020033581,0.019844947,54,Model feature contribution magnitude — not causal
store_id_STORE-NORTH-01,0.018828062,0.021916678,55,Model feature contribution magnitude — not causal
store_id_STORE-ONLINE-GLOBAL,0.012919998,0.022153098,56,Model feature contribution magnitude — not causal
log_inventory_level,0.011872041,0.02199646,57,Model feature contribution magnitude — not causal
dow_cos,0.010307975,0.0134125305,58,Model feature contribution magnitude — not causal
is_stockout_risk_flag,0.009675073,0.009661328,59,Model feature contribution magnitude — not causal
store_id_STORE-WEST-02,0.005167386,0.00873165,60,Model feature contribution magnitude — not causal
is_promotion,0.0049595614,0.008578999,61,Model feature contribution magnitude — not causal
month,0.0044095097,0.005591709,62,Model feature contribution magnitude — not causal
category_IoT Hardware,0.0036068037,0.006114555,63,Model feature contribution magnitude — not causal
category_Accessories,0.0018224821,0.005181073,64,Model feature contribution magnitude — not causal
is_quarter_start,0.0013442131,0.0068385634,65,Model feature contribution magnitude — not causal
category_Software,0.0007001881,0.0034334522,66,Model feature contribution magnitude — not causal
category_Hardware & Tools,0.00038637518,0.0015212249,67,Model feature contribution magnitude — not causal
is_month_end,0.00037122046,0.00076998485,68,Model feature contribution magnitude — not causal
is_quarter_end,0.00032991925,0.00049241557,69,Model feature contribution magnitude — not causal
