candidate_price,predicted_demand,revenue,profit,margin_pct,unit_margin_dollar,optimization_score,is_valid,violations,is_current_price,sku_id
52.59,42.08,2212.99,193.15,8.73,4.59,193.15,False,"Exceeds maximum price drop (-20.0%), Gross margin (8.7%) violates minimum margin floor (20.0%)",False,SKU-1090-CAB
53.69,42.3,2271.09,240.69,10.6,5.69,240.69,False,Gross margin (10.6%) violates minimum margin floor (20.0%),False,SKU-1090-CAB
54.78,42.3,2317.19,286.79,12.38,6.78,286.79,False,Gross margin (12.4%) violates minimum margin floor (20.0%),False,SKU-1090-CAB
55.88,42.3,2363.72,333.32,14.1,7.88,333.32,False,Gross margin (14.1%) violates minimum margin floor (20.0%),False,SKU-1090-CAB
56.97,42.3,2409.83,379.43,15.75,8.97,379.43,False,Gross margin (15.7%) violates minimum margin floor (20.0%),False,SKU-1090-CAB
58.07,42.56,2471.46,428.58,17.34,10.07,428.58,False,Gross margin (17.3%) violates minimum margin floor (20.0%),False,SKU-1090-CAB
59.17,40.86,2417.69,456.41,18.88,11.17,456.41,False,Gross margin (18.9%) violates minimum margin floor (20.0%),False,SKU-1090-CAB
60.26,39.63,2388.1,485.86,20.35,12.26,485.86,True,None,False,SKU-1090-CAB
61.36,39.43,2419.42,526.78,21.77,13.36,526.78,True,None,False,SKU-1090-CAB
62.45,38.82,2424.31,560.95,23.14,14.45,560.95,True,None,False,SKU-1090-CAB
63.55,38.26,2431.42,594.94,24.47,15.55,594.94,True,None,False,SKU-1090-CAB
64.64,37.66,2434.34,626.66,25.74,16.64,626.66,True,None,False,SKU-1090-CAB
65.74,37.46,2462.62,664.54,26.99,17.74,664.54,True,None,True,SKU-1090-CAB
66.84,37.93,2535.24,714.6,28.19,18.84,714.6,True,None,False,SKU-1090-CAB
67.93,38.14,2590.85,760.13,29.34,19.93,760.13,True,None,False,SKU-1090-CAB
69.03,37.79,2608.64,794.72,30.47,21.03,794.72,True,None,False,SKU-1090-CAB
70.12,37.82,2651.94,836.58,31.55,22.12,836.58,True,None,False,SKU-1090-CAB
71.22,38.01,2707.07,882.59,32.6,23.22,882.59,True,None,False,SKU-1090-CAB
72.31,37.71,2726.81,916.73,33.62,24.31,916.73,True,None,False,SKU-1090-CAB
73.41,37.15,2727.18,943.98,34.61,25.41,943.98,True,None,False,SKU-1090-CAB
74.51,35.99,2681.62,954.09,35.58,26.51,954.09,True,None,False,SKU-1090-CAB
75.6,34.54,2611.22,953.3,36.51,27.6,953.3,True,None,False,SKU-1090-CAB
76.7,34.26,2627.74,983.26,37.42,28.7,983.26,False,Exceeds competitor benchmark ratio ($76.43),False,SKU-1090-CAB
77.79,33.68,2619.97,1003.33,38.3,29.79,1003.33,False,Exceeds competitor benchmark ratio ($76.43),False,SKU-1090-CAB
78.89,33.84,2669.64,1045.32,39.16,30.89,1045.32,False,"Exceeds maximum price hike (+20.0%), Exceeds competitor benchmark ratio ($76.43)",False,SKU-1090-CAB
129.5,30.13,3901.83,1129.87,28.96,37.5,1129.87,True,None,False,SKU-3320-SENS
132.19,28.36,3748.91,1139.79,30.4,40.19,1139.79,True,None,False,SKU-3320-SENS
134.89,28.58,3855.16,1225.8,31.8,42.89,1225.8,True,None,False,SKU-3320-SENS
137.59,28.14,3871.78,1282.9,33.13,45.59,1282.9,True,None,False,SKU-3320-SENS
140.29,28.09,3940.75,1356.47,34.42,48.29,1356.47,True,None,False,SKU-3320-SENS
142.99,27.22,3892.19,1387.95,35.66,50.99,1387.95,True,None,False,SKU-3320-SENS
145.68,25.72,3746.89,1380.65,36.85,53.68,1380.65,True,None,False,SKU-3320-SENS
148.38,22.21,3295.52,1252.2,38.0,56.38,1252.2,True,None,False,SKU-3320-SENS
151.08,21.9,3308.65,1293.85,39.11,59.08,1293.85,True,None,False,SKU-3320-SENS
153.78,21.2,3260.14,1309.74,40.17,61.78,1309.74,True,None,False,SKU-3320-SENS
156.47,20.56,3217.02,1325.5,41.2,64.47,1325.5,True,None,False,SKU-3320-SENS
159.17,19.21,3057.66,1290.34,42.2,67.17,1290.34,True,None,False,SKU-3320-SENS
161.87,18.9,3059.34,1320.54,43.16,69.87,1320.54,True,None,True,SKU-3320-SENS
164.57,18.73,3082.4,1359.24,44.1,72.57,1359.24,True,None,False,SKU-3320-SENS
167.27,18.71,3129.62,1408.3,45.0,75.27,1408.3,True,None,False,SKU-3320-SENS
169.96,18.71,3179.95,1458.63,45.87,77.96,1458.63,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
172.66,18.71,3230.47,1509.15,46.72,80.66,1509.15,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
175.36,18.71,3280.99,1559.67,47.54,83.36,1559.67,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
178.06,18.71,3331.5,1610.18,48.33,86.06,1610.18,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
180.75,18.71,3381.83,1660.51,49.1,88.75,1660.51,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
183.45,18.71,3432.35,1711.03,49.85,91.45,1711.03,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
186.15,18.71,3482.87,1761.55,50.58,94.15,1761.55,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
188.85,18.71,3533.38,1812.06,51.28,96.85,1812.06,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
191.55,18.71,3583.9,1862.58,51.97,99.55,1862.58,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
194.24,18.71,3634.23,1912.91,52.64,102.24,1912.91,False,Exceeds competitor benchmark ratio ($169.56),False,SKU-3320-SENS
428.02,10.63,4549.85,1254.55,27.57,118.02,1254.55,False,Exceeds maximum price drop (-20.0%),False,SKU-4412-MTR
436.94,10.43,4557.28,1323.98,29.05,126.94,1323.98,True,None,False,SKU-4412-MTR
445.86,10.4,4636.94,1412.94,30.47,135.86,1412.94,True,None,False,SKU-4412-MTR
454.78,10.4,4729.71,1505.71,31.84,144.78,1505.71,True,None,False,SKU-4412-MTR
463.69,10.38,4813.1,1595.3,33.14,153.69,1595.3,True,None,False,SKU-4412-MTR
472.61,10.21,4825.35,1660.25,34.41,162.61,1660.25,True,None,False,SKU-4412-MTR
481.53,10.11,4868.27,1734.17,35.62,171.53,1734.17,True,None,False,SKU-4412-MTR
490.44,9.17,4497.33,1654.63,36.79,180.44,1654.63,True,None,False,SKU-4412-MTR
499.36,9.08,4534.19,1719.39,37.92,189.36,1719.39,True,None,False,SKU-4412-MTR
508.28,9.08,4615.18,1800.38,39.01,198.28,1800.38,True,None,False,SKU-4412-MTR
517.2,9.02,4665.14,1868.94,40.06,207.2,1868.94,True,None,False,SKU-4412-MTR
526.11,8.93,4698.16,1929.86,41.08,216.11,1929.86,True,None,False,SKU-4412-MTR
535.03,8.77,4692.21,1973.51,42.06,225.03,1973.51,True,None,True,SKU-4412-MTR
543.95,8.61,4683.41,2014.31,43.01,233.95,2014.31,True,None,False,SKU-4412-MTR
552.86,8.53,4715.9,2071.6,43.93,242.86,2071.6,True,None,False,SKU-4412-MTR
561.78,8.42,4730.19,2119.99,44.82,251.78,2119.99,True,None,False,SKU-4412-MTR
570.7,8.31,4742.52,2166.42,45.68,260.7,2166.42,True,None,False,SKU-4412-MTR
579.62,8.27,4793.46,2229.76,46.52,269.62,2229.76,True,None,False,SKU-4412-MTR
